Date_tweeted,username,display_name,tweet_link,Tweets,Number_of_Likes,Number_retweets,Qouted_times,Source_of_Tweet,number_of_followers,location
2023-02-22 06:45:18,dmightyangel,Taiwo_Ajakaye,https://twitter.com/dmightyangel/status/1628284780461670401,"The prophet that hath a dream, let him tell a dream; and he that hath my word, let him speak my word faithfully. What is the chaff to the wheat? saith the Lord...Jer 23:28

Stop listening to JUNKS, the name of the winner of #NigeriaDecides2023 is not in the Bible, na LOCAL name!",1,0,0,Twitter Web App,30785,Cosmos
2023-02-22 06:45:10,dmightyangel,Taiwo_Ajakaye,https://twitter.com/dmightyangel/status/1628284745325981696,"HOW TO HANDLE POST-ELECTION DEPRESSION

As we all get set for #NigeriaDecides2023, common sense should tell us that only one candidate will eventually win and election is WINNERS TAKE IT ALL, there's nothing like Silver medal for 2nd Position.

So stop listening to FAKE PROPHECY! https://t.co/IoksbfxJsL",15,14,2,Twitter Web App,30785,Cosmos
2023-02-22 06:44:32,Journalist_Mind,Willy Ibimina Jim-george,https://twitter.com/Journalist_Mind/status/1628284588165410817,"NIGERIAN ARMY APPROVES HOTLINES FOR OPERATION SAFE CONDUCT 2023 ELECTIONS 

Members of the general public are please enjoined to call the phone numbers below in their various 

#NigeriaDecides2023 https://t.co/J0bl8MdMu8",46,40,27,Twitter for Android,21436,"Rivers, Nigeria"
2023-02-22 06:44:28,princepogu,prince pogu,https://twitter.com/princepogu/status/1628284571149033473,Members of the general public are please enjoined to call the phone numbers below in their various states including the Federal Capital Territory Abuja to report any security breach during the elections. #NigeriaDecides2023 Support Our Troops,22,16,17,Twitter for Android,1611,
2023-02-22 06:44:27,princepogu,prince pogu,https://twitter.com/princepogu/status/1628284568271740928,"NIGERIAN ARMY APPROVES HOTLINES FOR OPERATION SAFE CONDUCT 2023 ELECTIONS ....
#NigeriaDecides2023 Support Our Troops https://t.co/wURTySKm9P",13,13,6,Twitter for Android,1611,
2023-02-22 06:44:14,mpapaul56,IAMPaularge,https://twitter.com/mpapaul56/status/1628284513351618560,"He will lead Nigeria to abundance instead of looting Nigeria.
His government will be a flourishing economy, the days of milk 🥛 and honey 🍯
#PeterObi2023 
#NigeriaDecides2023 
#PresidentPeterObi
#LabourParty https://t.co/VYzp8RIyPj",0,0,0,Twitter for Android,228,United Kingdom 
2023-02-22 06:43:40,WhyteAbel,NigeriaDecides2023 Atiku 💯,https://twitter.com/WhyteAbel/status/1628284371659550722,@1king_son @AYOOijiwole @atiku Go back to school.,0,0,0,Twitter for iPhone,338,Earth 
2023-02-22 06:43:04,my234Radio,234𝐑𝐚𝐝𝐢𝐨 🌍,https://twitter.com/my234Radio/status/1628284218462679040,"Now Playing on 234Radio, Senth (@senthmusic) - Dagger.

Listen live on https://t.co/CtrpndTCI7

Download 234Radio mobile app on iOS and Android.

Elections have consequences. 
#VoteWisely #Nigeria #NigeriaDecides #NigeriaDecides2023",1,0,0,Radio.co now playing,10947,"UK, USA, South Africa, Nigeria"
2023-02-22 06:42:45,DavidsOffor,David Offor,https://twitter.com/DavidsOffor/status/1628284141077778433,"#NigeriaDecides2023 : Noticed any security breach during the elections,call the NIGERIAN ARMY dedicated number for your state in the flyer

Support Our Troops to achieve  credible elections https://t.co/URgDHxAQxW",54,44,29,Twitter for Android,11312,Nigeria
2023-02-22 06:42:45,Ay_Miles,Duke of Lagos,https://twitter.com/Ay_Miles/status/1628284140616404993,"I'm OBIdient and Yusful ✊🏿
Vote Labour Party ✅
#Elections2023 #NigeriaDecides2023 https://t.co/ePPpegjkwR",0,1,1,Twitter for Android,509,Nigeria
